Step value of: 0.0100
%Si	%C	%H	#Si	#C	#H	Density	Radius	L_X	L_Y	L_Z	plytyp	element	NUM
50.0000	50.0000	XXX	864	864	XXX	3.2134	XXX	26.1600	26.1600	26.1600	3C	XXX	XXX
49.8556	49.9133	0.2311	863	864	4	3.2111	0.0000	26.1600	26.1600	26.1600	3C	Si	0
49.7406	49.5677	0.6916	863	860	12	3.2074	2.0000	26.1600	26.1600	26.1600	3C	Si	1
49.0490	48.8761	2.0749	851	848	36	3.1650	4.0100	26.1600	26.1600	26.1600	3C	Si	2
48.5353	48.0184	3.4463	845	836	60	3.1383	5.0100	26.1600	26.1600	26.1600	3C	Si	3
47.8160	47.7577	4.4263	821	820	76	3.0594	6.0100	26.1600	26.1600	26.1600	3C	Si	4
46.6984	47.3528	5.9488	785	796	100	2.9412	7.0100	26.1600	26.1600	26.1600	3C	Si	5
46.1128	45.1039	8.7834	777	760	148	2.8847	8.0100	26.1600	26.1600	26.1600	3C	Si	6
44.9907	44.3062	10.7032	723	712	172	2.6928	9.0100	26.1600	26.1600	26.1600	3C	Si	7
42.4184	41.4587	16.1228	663	648	252	2.4727	10.0100	26.1600	26.1600	26.1600	3C	Si	8
41.5822	39.7566	18.6613	615	588	276	2.2830	11.0100	26.1600	26.1600	26.1600	3C	Si	9
37.4150	39.9093	22.6757	495	528	300	1.9058	12.0100	26.1600	26.1600	26.1600	3C	Si	10
34.4418	32.3040	33.2542	435	408	420	1.6270	13.0100	26.1600	26.1600	26.1600	3C	Si	11
49.9133	49.8556	0.2311	864	863	4	3.2126	0.0000	26.1600	26.1600	26.1600	3C	C	0
49.5677	49.7406	0.6916	860	863	12	3.2030	2.0000	26.1600	26.1600	26.1600	3C	C	1
48.8761	49.0490	2.0749	848	851	36	3.1606	4.0100	26.1600	26.1600	26.1600	3C	C	2
48.0184	48.5353	3.4463	836	845	60	3.1249	5.0100	26.1600	26.1600	26.1600	3C	C	3
47.7577	47.8160	4.4263	820	821	76	3.0579	6.0100	26.1600	26.1600	26.1600	3C	C	4
47.3528	46.6984	5.9488	796	785	100	2.9576	7.0100	26.1600	26.1600	26.1600	3C	C	5
45.1039	46.1128	8.7834	760	777	148	2.8594	8.0100	26.1600	26.1600	26.1600	3C	C	6
44.3062	44.9907	10.7032	712	723	172	2.6764	9.0100	26.1600	26.1600	26.1600	3C	C	7
41.4587	42.4184	16.1228	648	663	252	2.4503	10.0100	26.1600	26.1600	26.1600	3C	C	8
39.7566	41.5822	18.6613	588	615	276	2.2428	11.0100	26.1600	26.1600	26.1600	3C	C	9
39.9093	37.4150	22.6757	528	495	300	1.9550	12.0100	26.1600	26.1600	26.1600	3C	C	10
32.3040	34.4418	33.2542	408	435	420	1.5868	13.0100	26.1600	26.1600	26.1600	3C	C	11
50.0000	50.0000	XXX	512	512	XXX	3.2394	XXX	24.5840	21.2904	20.1060	64	XXX	XXX
49.7566	49.8539	0.3895	511	512	4	3.2356	0.0000	24.5840	21.2904	20.1060	64	Si	0
49.5635	49.2726	1.1639	511	508	12	3.2293	2.0000	24.5840	21.2904	20.1060	64	Si	1
48.3996	48.3026	3.2978	499	498	34	3.1607	4.0100	24.5840	21.2904	20.1060	64	Si	2
47.6789	46.7118	5.6093	493	483	58	3.1095	5.0100	24.5840	21.2904	20.1060	64	Si	3
45.4635	46.4497	8.0868	461	471	82	2.9487	6.0100	24.5840	21.2904	20.1060	64	Si	4
45.1120	44.5010	10.3870	443	437	102	2.8077	7.0100	24.5840	21.2904	20.1060	64	Si	5
42.0889	42.3992	15.5119	407	410	150	2.6046	8.0100	24.5840	21.2904	20.1060	64	Si	6
40.3761	39.2699	20.3540	365	355	184	2.3197	9.0100	24.5840	21.2904	20.1060	64	Si	7
36.5269	36.4072	27.0659	305	304	226	1.9638	10.0100	24.5840	21.2904	20.1060	64	Si	8
34.1033	33.2880	32.6087	251	245	240	1.6149	11.0100	24.5840	21.2904	20.1060	64	Si	9
32.0598	29.4020	38.5382	193	177	232	1.2277	12.0100	24.5840	21.2904	20.1060	64	Si	10
27.1335	28.2276	44.6389	124	129	204	0.8265	13.0100	24.5840	21.2904	20.1060	64	Si	11
49.8539	49.7566	0.3895	512	511	4	3.2382	0.0000	24.5840	21.2904	20.1060	64	C	0
49.2726	49.5635	1.1639	508	511	12	3.2217	2.0000	24.5840	21.2904	20.1060	64	C	1
48.1086	48.3996	3.4918	496	499	36	3.1496	4.0100	24.5840	21.2904	20.1060	64	C	2
46.6731	47.5410	5.7859	484	493	60	3.0889	5.0100	24.5840	21.2904	20.1060	64	C	3
46.0020	46.2981	7.6999	466	469	78	2.9665	6.0100	24.5840	21.2904	20.1060	64	C	4
45.4082	44.1837	10.4082	445	433	102	2.8090	7.0100	24.5840	21.2904	20.1060	64	C	5
41.9918	43.2238	14.7844	409	421	144	2.6334	8.0100	24.5840	21.2904	20.1060	64	C	6
40.0445	40.1557	19.7998	360	361	178	2.3079	9.0100	24.5840	21.2904	20.1060	64	C	7
35.4801	36.6511	27.8689	303	313	238	1.9739	10.0100	24.5840	21.2904	20.1060	64	C	8
32.4900	33.6884	33.8216	244	253	254	1.6012	11.0100	24.5840	21.2904	20.1060	64	C	9
31.2178	31.0463	37.7358	182	181	220	1.1846	12.0100	24.5840	21.2904	20.1060	64	C	10
26.3617	27.0153	46.6231	121	124	214	0.8053	13.0100	24.5840	21.2904	20.1060	64	C	11
